Unnamed: 0,Pre_GPCC,Pre_GPCP,Pre_Gsmap,Pre_IMERG,Pre_PERSIANN_CDR,ET_FLUXCOM,ET_GLDAS,ET_GLEAM,ET_PT-JPL,GRDC,TWSC_GRACE_CSR_calculate,TWSC_GRACE_GFZ_calculate,TWSC_GRACE_JPL_calculate,TWSC_GRACE_Mascon_JPL_calculate,SM_GLDAS,SWE_GLDAS
201001,58.90587215,90.97508894,48.20783632,81.8137271,93.18587151,9.125556287,7.68769824,11.8568205,2.009835667,34.21739638,41.040609789509666,56.123634301008515,51.77094449312425,58.06177775043221,609.5765923,33.37167383
201002,60.2015178,89.48416574,52.38651695,83.77452835,93.48097965,14.07169438,6.403985546,15.31264901,8.232152104,22.56785044,16.505386995790317,19.69460561247044,15.523543481633233,21.35812837530119,630.5423195,75.67727137
201003,45.29548067,58.16733224,35.89085294,55.53046164,59.77827508,35.85332249,33.29140944,35.59083628,21.81974923,39.41745853,9.540850302262413,2.1797293449129427,-0.9166413867689585,-2.302758996917163,668.6517796,28.25949421
201004,58.46931412,69.02188982,50.69593205,66.59751015,68.30993486,73.64015168,63.10007238,58.47261368,46.93094079,33.73347319,-10.092383799380869,-14.24646953046431,-7.4439664545654125,-8.999277732456832,638.0520266,5.275134843
201005,137.9642796,155.9560198,118.3131238,150.6860809,157.2269031,106.2596079,95.43134792,77.39828849,75.47985526,30.94126512,-14.071660784435991,-12.13618912736672,-10.804647832558494,-2.017360980256413,621.5081744,1.552814369
201006,128.2396224,133.2989764,123.2368926,137.1739607,137.196462,128.6649439,121.510963,85.31599114,100.6149979,41.9901848,-22.726464814315115,-11.180403793088487,-21.79459982949315,-17.948602754274326,603.1401141,0.226998394
201007,102.7352797,109.4721157,93.71056817,111.0617391,112.9878449,137.9104283,139.5558796,97.99042064,113.2963017,41.96770357,-32.35436197717129,-26.797801324329,-29.378027485882257,-30.3958227818557,557.4640668,0.013902309
201008,93.38170555,100.9539795,87.24281562,100.4972921,101.7537892,109.0546875,112.8162253,83.67127363,90.17748475,27.52594667,-27.879571191772804,-24.811715755580025,-25.09791540537382,-25.894815553484392,526.9036955,0.014987887
201009,85.76468835,91.50986154,78.75045931,93.79167352,94.99853116,66.21861943,55.35404249,49.65266306,43.78062419,21.45225279,1.6755484874701523,-11.182735407754915,-5.184322736744843,-8.466048833524521,529.1441161,0.034223546
201010,54.24604053,60.1318621,49.80312877,60.48997066,63.50355501,34.06388188,26.87242954,27.69319706,17.7935775,23.31622208,17.385908303879667,8.032273304410333,11.880851956967135,12.912784346701224,546.6235099,0.676294727
201011,70.89900694,89.01862444,60.38926593,83.86708895,94.89366911,14.29717695,14.76970554,20.77746881,7.757247121,19.85808286,53.28474213862838,61.09659025466778,50.06364364164526,55.40561984488384,581.1878832,2.287657195
201012,75.63273799,102.510655,60.56851898,97.97281178,110.6217749,7.665740882,6.778283059,13.39735184,3.818329933,35.03000701,39.84349568663118,41.2166284386338,42.452734935638105,39.83499422701453,619.7484247,23.24395436
201101,34.76102159,53.18682861,25.04281836,48.11616349,53.37833149,9.267909993,4.77432226,10.55182034,2.661816948,,-4.582579405314888,-7.500236877287264,8.575451895097302,-2.0298842468385345,633.6965259,29.8398065
201102,25.00202231,36.64270891,19.86272383,34.11375041,36.76582989,14.19764646,12.87765029,14.38612536,3.829830519,,3.9777838886910644,7.7145406432021275,2.005036605151986,-2.876178587533232,634.2524268,24.87890359
201103,32.51754087,40.56696865,26.99031685,40.1968918,42.40291851,35.90114141,30.6194759,36.25426282,22.11693509,,-1.0960967963536348,-7.609541221787751,-9.84657669928805,-10.679224131393383,641.2860184,14.07135958
201104,35.85002448,40.09922573,29.11810697,40.69717629,42.43125745,71.23026745,70.48360333,60.11942268,46.30300597,,-25.17325826008969,-27.25522916919671,-19.380282010792484,-22.792900603571695,616.9367337,1.982731375
