basinID,abnormal,method,component,percentage
4150450,r2,CKF,R,25.359623015873016
4150450,r2,MCL,R,41.75347222222222
4150450,r2,MSD,R,34.04334828101644
4150450,r2,PR,S,21.949404761904763
4150450,r2,CKF,S,22.358630952380953
4150450,r2,MCL,S,32.57688492063492
4150450,r2,MSD,S,28.72446437468859
4150500,r1,PR,P,0.0
4150500,r1,CKF,P,0.0
4150500,r1,MCL,P,0.0
4150500,r1,MSD,P,0.0
4150500,r1,PR,E,7.2792658730158735
4150500,r1,CKF,E,7.837301587301587
4150500,r1,MCL,E,10.01984126984127
4150500,r1,MSD,E,8.756851021425012
4150500,r1,PR,R,2.6785714285714284
4150500,r1,CKF,R,0.9052579365079366
4150500,r1,MCL,R,2.0709325396825395
4150500,r1,MSD,R,0.7972097658196312
4150500,r1,PR,S,7.663690476190476
4150500,r1,CKF,S,7.167658730158729
4150500,r1,MCL,S,15.45138888888889
4150500,r1,MSD,S,13.477827603388143
4150500,r2,PR,P,5.133928571428571
4150500,r2,CKF,P,3.695436507936508
4150500,r2,MCL,P,6.063988095238095
4150500,r2,MSD,P,3.761833582461385
4150500,r2,PR,E,4.774305555555555
4150500,r2,CKF,E,2.6165674603174605
4150500,r2,MCL,E,2.7405753968253967
4150500,r2,MSD,E,2.3418036870951666
4150500,r2,PR,R,35.85069444444444
4150500,r2,CKF,R,22.51984126984127
4150500,r2,MCL,R,38.479662698412696
4150500,r2,MSD,R,24.65122072745391
4150500,r2,PR,S,21.006944444444446
4150500,r2,CKF,S,20.114087301587304
4150500,r2,MCL,S,31.87003968253968
4150500,r2,MSD,S,28.300946686596912
4152050,r1,PR,P,0.0
4152050,r1,CKF,P,0.0
4152050,r1,MCL,P,0.0
4152050,r1,MSD,P,0.0
4152050,r1,PR,E,11.173115079365079
4152050,r1,CKF,E,12.834821428571427
4152050,r1,MCL,E,15.004960317460316
4152050,r1,MSD,E,15.53313403089188
4152050,r1,PR,R,1.1408730158730158
4152050,r1,CKF,R,0.5084325396825397
4152050,r1,MCL,R,0.6572420634920635
4152050,r1,MSD,R,0.0622820129546587
4152050,r1,PR,S,6.609623015873016
4152050,r1,CKF,S,5.4811507936507935
4152050,r1,MCL,S,7.713293650793651
4152050,r1,MSD,S,10.039860488290982
4152050,r2,PR,P,3.571428571428571
4152050,r2,CKF,P,2.132936507936508
4152050,r2,MCL,P,3.1374007936507935
4152050,r2,MSD,P,3.039362232187344
4152050,r2,PR,E,5.096726190476191
4152050,r2,CKF,E,1.314484126984127
4152050,r2,MCL,E,1.599702380952381
4152050,r2,MSD,E,0.7972097658196312
4152050,r2,PR,R,31.448412698412696
4152050,r2,CKF,R,11.185515873015873
4152050,r2,MCL,R,25.669642857142854
4152050,r2,MSD,R,9.005979073243648
4152050,r2,PR,S,15.773809523809524
4152050,r2,CKF,S,18.650793650793652
4152050,r2,MCL,S,24.24355158730159
4152050,r2,MSD,S,26.532137518684607
4207900,r1,PR,P,0.0
4207900,r1,CKF,P,0.0
4207900,r1,MCL,P,0.0
4207900,r1,MSD,P,0.0
4207900,r1,PR,E,13.578869047619047
4207900,r1,CKF,E,12.3015873015873
4207900,r1,MCL,E,14.118303571428573
4207900,r1,MSD,E,14.050822122571002
4207900,r1,PR,R,1.7857142857142856
4207900,r1,CKF,R,1.4632936507936507
4207900,r1,MCL,R,1.5625
4207900,r1,MSD,R,1.4947683109118086
4207900,r1,PR,S,3.5342261904761902
4207900,r1,CKF,S,3.3854166666666665
4207900,r1,MCL,S,4.445684523809524
4207900,r1,MSD,S,5.493273542600897
4207900,r2,PR,P,1.2400793650793651
4207900,r2,CKF,P,0.5704365079365079
4207900,r2,MCL,P,1.2648809523809523
4207900,r2,MSD,P,0.8968609865470852
4207900,r2,PR,E,1.525297619047619
4207900,r2,CKF,E,0.5828373015873016
4207900,r2,MCL,E,4.557291666666666
4207900,r2,MSD,E,1.345291479820628
4207900,r2,PR,R,13.020833333333334
4207900,r2,CKF,R,7.750496031746032
4207900,r2,MCL,R,9.207589285714286
4207900,r2,MSD,R,4.521674140508222
4207900,r2,PR,S,8.246527777777777
4207900,r2,CKF,S,8.382936507936508
4207900,r2,MCL,S,9.802827380952381
4207900,r2,MSD,S,13.440458395615346
4208025,r1,PR,P,0.0
4208025,r1,CKF,P,0.0
4208025,r1,MCL,P,0.0
4208025,r1,MSD,P,0.0
4208025,r1,PR,E,5.654761904761905
4208025,r1,CKF,E,5.729166666666666
4208025,r1,MCL,E,9.00297619047619
4208025,r1,MSD,E,7.673143996013951
4208025,r1,PR,R,3.5218253968253967
4208025,r1,CKF,R,2.4429563492063493
4208025,r1,MCL,R,2.5111607142857144
4208025,r1,MSD,R,2.690582959641256
4208025,r1,PR,S,6.163194444444445
4208025,r1,CKF,S,5.158730158730158
4208025,r1,MCL,S,5.394345238095238
4208025,r1,MSD,S,5.5057299451918285
4208025,r2,PR,P,2.256944444444444
4208025,r2,CKF,P,1.0540674603174605
4208025,r2,MCL,P,1.3950892857142858
4208025,r2,MSD,P,2.3418036870951666
4208025,r2,PR,E,2.6413690476190474
4208025,r2,CKF,E,1.0416666666666665
4208025,r2,MCL,E,5.933779761904762
4208025,r2,MSD,E,3.2760338814150476
4208025,r2,PR,R,20.597718253968253
4208025,r2,CKF,R,14.186507936507937
4208025,r2,MCL,R,17.057291666666664
4208025,r2,MSD,R,16.068759342301945
4208025,r2,PR,S,10.714285714285714
4208025,r2,CKF,S,9.64781746031746
4208025,r2,MCL,S,11.904761904761903
4208025,r2,MSD,S,14.39960139511709
4213711,r1,PR,P,0.0
4213711,r1,CKF,P,0.0
4213711,r1,MCL,P,0.0
4213711,r1,MSD,P,0.0
4213711,r1,PR,E,8.506944444444445
4213711,r1,CKF,E,9.734623015873016
4213711,r1,MCL,E,10.974702380952381
4213711,r1,MSD,E,8.943697060288988
4213711,r1,PR,R,1.3888888888888888
4213711,r1,CKF,R,0.992063492063492
4213711,r1,MCL,R,1.1408730158730158
4213711,r1,MSD,R,1.0587942202291978
4213711,r1,PR,S,5.406746031746032
4213711,r1,CKF,S,4.340277777777778
4213711,r1,MCL,S,6.560019841269842
4213711,r1,MSD,S,4.995017438963627
4213711,r2,PR,P,1.8973214285714284
4213711,r2,CKF,P,1.4260912698412698
4213711,r2,MCL,P,1.0540674603174605
4213711,r2,MSD,P,2.055306427503737
4213711,r2,PR,E,2.8521825396825395
4213711,r2,CKF,E,1.4632936507936507
4213711,r2,MCL,E,2.4677579365079363
4213711,r2,MSD,E,2.2172396611858494
4213711,r2,PR,R,14.012896825396826
4213711,r2,CKF,R,7.2792658730158735
4213711,r2,MCL,R,11.594742063492063
4213711,r2,MSD,R,7.361733931240658
4213711,r2,PR,S,7.477678571428571
4213711,r2,CKF,S,6.274801587301587
4213711,r2,MCL,S,14.546130952380953
4213711,r2,MSD,S,11.260587942202292
4214270,r1,PR,P,0.0
4214270,r1,CKF,P,0.0
4214270,r1,MCL,P,0.0
4214270,r1,MSD,P,0.0
4214270,r1,PR,E,4.799107142857143
4214270,r1,CKF,E,5.654761904761905
4214270,r1,MCL,E,7.688492063492064
4214270,r1,MSD,E,5.5306427503736915
4214270,r1,PR,R,11.011904761904761
4214270,r1,CKF,R,6.2624007936507935
4214270,r1,MCL,R,5.803571428571429
4214270,r1,MSD,R,7.984554060787246
4214270,r1,PR,S,15.45138888888889
4214270,r1,CKF,S,15.141369047619047
4214270,r1,MCL,S,17.274305555555554
4214270,r1,MSD,S,15.1096163428002
4214270,r2,PR,P,4.538690476190476
4214270,r2,CKF,P,2.6413690476190474
4214270,r2,MCL,P,3.980654761904762
4214270,r2,MSD,P,4.397110114598904
4214270,r2,PR,E,4.489087301587301
4214270,r2,CKF,E,3.013392857142857
4214270,r2,MCL,E,4.1790674603174605
4214270,r2,MSD,E,4.197807673143996
4214270,r2,PR,R,36.30952380952381
4214270,r2,CKF,R,23.809523809523807
4214270,r2,MCL,R,34.01537698412698
4214270,r2,MSD,R,28.338315894369703
4214270,r2,PR,S,17.286706349206348
4214270,r2,CKF,S,18.464781746031747
4214270,r2,MCL,S,26.599702380952383
4214270,r2,MSD,S,20.951669157947183
4243151,r1,PR,P,0.0
4243151,r1,CKF,P,0.0
4243151,r1,MCL,P,0.0
4243151,r1,MSD,P,0.0
4243151,r1,PR,E,25.570436507936506
4243151,r1,CKF,E,21.242559523809522
4243151,r1,MCL,E,25.669642857142854
4243151,r1,MSD,E,22.882411559541605
4243151,r1,PR,R,0.0
4243151,r1,CKF,R,0.0
4243151,r1,MCL,R,0.0
4243151,r1,MSD,R,0.0
